OID,Numeric OID,YANG Xpath,YANG Module
.iso.org.dod.internet.mgmt.mib-2.lispMIB.lispObjects.lispFeaturesTable.lispFeaturesEntry.lispFeaturesRlocProbeEnabled.<>,.1.3.6.1.2.1.220.1.1.1.12.<>,/lisp-state/lisp-routers/instances/is-rloc-probing,Cisco-IOS-XE-lisp-oper
.iso.org.dod.internet.mgmt.mib-2.lispMIB.lispObjects.lispIidToVrfTable.lispIidToVrfEntry.lispIidToVrfName.<>,.1.3.6.1.2.1.220.1.2.1.1.<>,/lisp-state/lisp-routers/instances/vrf-name,Cisco-IOS-XE-lisp-oper
.iso.org.dod.internet.mgmt.mib-2.lispMIB.lispObjects.lispConfiguredLocatorTable.lispConfiguredLocatorEntry.lispConfiguredLocatorRlocLocal.<>,.1.3.6.1.2.1.220.1.8.1.4.<>,/lisp-state/lisp-routers/local-rlocs/is-local,Cisco-IOS-XE-lisp-oper
.iso.org.dod.internet.mgmt.mib-2.lispMIB.lispObjects.lispConfiguredLocatorTable.lispConfiguredLocatorEntry.lispConfiguredLocatorRlocState.<>,.1.3.6.1.2.1.220.1.8.1.3.<>,/lisp-state/lisp-routers/local-rlocs/state,Cisco-IOS-XE-lisp-oper
.iso.std.iso8802.ieee802dot1.ieee802dot1mibs.lldpMIB.lldpObjects.lldpRemoteSystemsData.lldpRemTable.lldpRemEntry.lldpRemChassisId,.1.0.8802.1.1.2.1.4.1.1.5,/lldp-entries/lldp-intf-details/lldp-neighbor-details/chassis-id,Cisco-IOS-XE-lldp-oper
.iso.std.iso8802.ieee802dot1.ieee802dot1mibs.lldpMIB.lldpObjects.lldpRemoteSystemsData.lldpRemTable.lldpRemEntry.lldpRemChassisIdSubtype,.1.0.8802.1.1.2.1.4.1.1.4,/lldp-entries/lldp-intf-details/lldp-neighbor-details/chassis-id-type,Cisco-IOS-XE-lldp-oper
.iso.std.iso8802.ieee802dot1.ieee802dot1mibs.lldpMIB.lldpObjects.lldpRemoteSystemsData.lldpRemTable.lldpRemEntry.lldpRemSysCapEnabled,.1.0.8802.1.1.2.1.4.1.1.12,/lldp-entries/lldp-intf-details/lldp-neighbor-details/enabled-capabilities,Cisco-IOS-XE-lldp-oper
.iso.std.iso8802.ieee802dot1.ieee802dot1mibs.lldpMIB.lldpObjects.lldpRemoteSystemsData.lldpRemTable.lldpRemEntry.lldpRemPortDesc,.1.0.8802.1.1.2.1.4.1.1.8,/lldp-entries/lldp-intf-details/lldp-neighbor-details/port-desc,Cisco-IOS-XE-lldp-oper
.iso.std.iso8802.ieee802dot1.ieee802dot1mibs.lldpMIB.lldpObjects.lldpRemoteSystemsData.lldpRemTable.lldpRemEntry.lldpRemPortId,.1.0.8802.1.1.2.1.4.1.1.7,/lldp-entries/lldp-intf-details/lldp-neighbor-details/port-id,Cisco-IOS-XE-lldp-oper
.iso.std.iso8802.ieee802dot1.ieee802dot1mibs.lldpMIB.lldpObjects.lldpRemoteSystemsData.lldpRemTable.lldpRemEntry.lldpRemPortIdSubtype,.1.0.8802.1.1.2.1.4.1.1.6,/lldp-entries/lldp-intf-details/lldp-neighbor-details/port-id-type,Cisco-IOS-XE-lldp-oper
.iso.std.iso8802.ieee802dot1.ieee802dot1mibs.lldpMIB.lldpObjects.lldpRemoteSystemsData.lldpRemTable.lldpRemEntry.lldpRemSysCapSupported,.1.0.8802.1.1.2.1.4.1.1.11,/lldp-entries/lldp-intf-details/lldp-neighbor-details/system-capabilities,Cisco-IOS-XE-lldp-oper
.iso.std.iso8802.ieee802dot1.ieee802dot1mibs.lldpMIB.lldpObjects.lldpRemoteSystemsData.lldpRemTable.lldpRemEntry.lldpRemSysDesc,.1.0.8802.1.1.2.1.4.1.1.10,/lldp-entries/lldp-intf-details/lldp-neighbor-details/system-desc,Cisco-IOS-XE-lldp-oper
.iso.std.iso8802.ieee802dot1.ieee802dot1mibs.lldpMIB.lldpObjects.lldpRemoteSystemsData.lldpRemTable.lldpRemEntry.lldpRemSysName,.1.0.8802.1.1.2.1.4.1.1.9,/lldp-entries/lldp-intf-details/lldp-neighbor-details/system-name,Cisco-IOS-XE-lldp-oper
.iso.std.iso8802.ieee802dot1.ieee802dot1mibs.lldpMIB.lldpObjects.lldpLocalSystemData.lldpLocChassisId.<>,.1.0.8802.1.1.2.1.3.2.<>,/lldp-entries/lldp-state-details/chassis-id,Cisco-IOS-XE-lldp-oper
.iso.std.iso8802.ieee802dot1.ieee802dot1mibs.lldpMIB.lldpObjects.lldpLocalSystemData.lldpLocChassisIdSubtype.<>,.1.0.8802.1.1.2.1.3.1.<>,/lldp-entries/lldp-state-details/chassis-id-type,Cisco-IOS-XE-lldp-oper
.iso.std.iso8802.ieee802dot1.ieee802dot1mibs.lldpMIB.lldpObjects.lldpLocalSystemData.lldpLocSysDesc.<>,.1.0.8802.1.1.2.1.3.4.<>,/lldp-entries/lldp-state-details/system-desc,Cisco-IOS-XE-lldp-oper
.iso.std.iso8802.ieee802dot1.ieee802dot1mibs.lldpMIB.lldpObjects.lldpLocalSystemData.lldpLocSysName.<>,.1.0.8802.1.1.2.1.3.3.<>,/lldp-entries/lldp-state-details/system-name,Cisco-IOS-XE-lldp-oper
.iso.std.iso8802.ieee802dot1.ieee802dot1mibs.lldpMIB.lldpObjects.lldpConfiguration.lldpReinitDelay.<>,.1.0.8802.1.1.2.1.1.3.<>,/native/lldp/reinit,Cisco-IOS-XE-lldp
.iso.std.iso8802.ieee802dot1.ieee802dot1mibs.lldpMIB.lldpObjects.lldpConfiguration.lldpMessageTxInterval.<>,.1.0.8802.1.1.2.1.1.1.<>,/native/lldp/timer,Cisco-IOS-XE-lldp
.iso.org.dod.internet.mgmt.mib-2.vrrpv3MIB.vrrpv3Objects.vrrpv3Statistics.vrrpv3RouterVrIdErrors.<>,.1.3.6.1.2.1.207.1.2.3.<>,/ospf-oper-data/ospf-state/ospf-instance/ospf-area/area-id,Cisco-IOS-XE-ospf-oper
.iso.org.dod.internet.mgmt.mib-2.ospf.ospfNbrTable.ospfNbrEntry.ospfNbrRtrId.<>,.1.3.6.1.2.1.14.10.1.3.<>,/ospf-oper-data/ospf-state/ospf-instance/ospf-area/ospf-interface/bdr,Cisco-IOS-XE-ospf-oper
.iso.org.dod.internet.mgmt.mib-2.ospf.ospfIfTable.ospfIfEntry.ospfIfRtrDeadInterval.<>,.1.3.6.1.2.1.14.7.1.10.<>,/ospf-oper-data/ospf-state/ospf-instance/ospf-area/ospf-interface/dead-interval,Cisco-IOS-XE-ospf-oper
.iso.org.dod.internet.mgmt.mib-2.ospf.ospfIfMetricTable.ospfIfMetricEntry.ospfIfMetricIpAddress.<>,.1.3.6.1.2.1.14.8.1.1.<>,/ospf-oper-data/ospf-state/ospf-instance/ospf-area/ospf-interface/dr,Cisco-IOS-XE-ospf-oper
